Part_ID,Part_Name,Subassembly,Quantity,Material,Mass_g,Airfoil,Length_mm,Function,Sub_System,Emplacement,Origin,Notes
TAIL-001,Tail boom tube L,Tail Boom,1,Carbon fibre tube Ø20x1.5mm,90,N/A,TBD (INT-201),Left rear structural boom; carries X-tail load to fuselage,Boom,Left tail boom — from FUS-003 to X-tail,V2,Slides into FUS-003 spar adapter; bonded + bolted; carries hinge brackets
TAIL-002,Tail boom tube R,Tail Boom,1,Carbon fibre tube Ø20x1.5mm,90,N/A,TBD (INT-201),Right rear structural boom; carries X-tail load to fuselage,Boom,Right tail boom — from FUS-003 to X-tail,V2,Slides into FUS-003 spar adapter; bonded + bolted; carries hinge brackets
TAIL-003,Boom cross-brace,Tail Boom,2,Carbon rod Ø6mm,20,N/A,TBD (INT-201),Lateral stability between booms; prevents shear collapse,Brace,Cross-brace between boom ends,TAIL-003,Bonded into boom ends; no primary load
TAIL-004,X-tail hinge bracket (boom tip),Tail Boom,4,Al 7075-T6 CNC,25,N/A,N/A,Hinge pivot housing for each X-tail surface,Bracket,Boom tip — 4 hinge brackets total,TAIL-004,Bolted M3 to boom end; accepts hinge line for each surface
TAIL-005,X-tail surface root rib,Tail Boom,4,G10 fibreglass,15,N/A,N/A,Root structural rib for X-tail surface; houses servo mount,Rib,At each X-tail surface root,TAIL-005,Bonded to TAIL-001/002 boom; receives surface leading edge
WNG-001,Wing panel L,Wing,1,Carbon sandwich 12%t,310,NACA 4412,N/A,Left main lifting surface; houses fuel/payload,Wing Left,Left wing panel — 800mm span,WNG-001,Bolted to FUS-003 root; carries aileron hinge line
WNG-002,Wing panel R,Wing,1,Carbon sandwich 12%t,310,NACA 4412,N/A,Right main lifting surface; mirror of WNG-001,Wing Right,Right wing panel — 800mm span,WNG-002,Bolted to FUS-003 root; carries aileron hinge line
WNG-003,Main spar tube,Wing,2,Carbon tube Ø12x1mm,95,NACA 4412,N/A,Primary bending load member spanning between root and tip,Spar,Through both wing panels,WNG-003,Runs through WNG-001/002; bolted M3 at each station
WNG-004,Aileron panel L,Wing,1,Carbon 10%t,80,NACA 4412,N/A,Left trailing-edge roll control surface,Aileron Left,Trailing edge of left wing panel,WNG-004,Hinged to WNG-001; driven by WNG-006 servo
WNG-005,Aileron panel R,Wing,1,Carbon 10%t,80,NACA 4412,N/A,Right trailing-edge roll control surface,Aileron Right,Trailing edge of right wing panel,WNG-005,Hinged to WNG-002; driven by WNG-007 servo
WNG-006,Aileron servo L,Wing,1,Digital mini servo 12g,12,N/A,N/A,Actuates left aileron,Servo,Left wing root,WNG-006,Mounted in WNG-001 root; pushrod to WNG-004
WNG-007,Aileron servo R,Wing,1,Digital mini servo 12g,12,N/A,N/A,Actuates right aileron,Servo,Right wing root,WNG-007,Mounted in WNG-002 root; pushrod to WNG-005
WNG-008,Wing-tip endcap L,Wing,1,3D-printed PA12,18,N/A,N/A,Tip aerodynamic fairing; protects wing structure,Endcap,Left wing tip,WNG-008,Bonded to WNG-001 tip; houses navigation LED
WNG-009,Wing-tip endcap R,Wing,1,3D-printed PA12,18,N/A,N/A,Tip aerodynamic fairing; protects wing structure,Endcap,Right wing tip,WNG-009,Bonded to WNG-002 tip; houses navigation LED
WNG-010,Wing root fairing,Wing,2,EPP foam + film,25,N/A,N/A,Smooths fuselage-to-wing junction,Fairing,Left and right wing root junction,WNG-010,Taped on; no structural function
XTAL-001,X-tail surface UR,X-Tail,1,Carbon 10%t,55,NACA 4412,N/A,Upper-right ruddervator; +60 deg setting,XTail UR,Boom right tip — +60° above boom plane,XTAL-001,Hinged on TAIL-004; driven by XTAL-005 servo; pitch sym, yaw diff, roll diag
XTAL-002,X-tail surface UL,X-Tail,1,Carbon 10%t,55,NACA 4412,N/A,Upper-left ruddervator; +60 deg setting,XTail UL,Boom left tip — +60° above boom plane,XTAL-002,Hinged on TAIL-004; driven by XTAL-006 servo; same mixing
XTAL-003,X-tail surface LR,X-Tail,1,Carbon 10%t,55,NACA 4412,N/A,Lower-right ruddervator; +30 deg setting,XTail LR,Boom right tip — +30° below boom plane,XTAL-003,Hinged on TAIL-004; driven by XTAL-007 servo; same mixing
XTAL-004,X-tail surface LL,X-Tail,1,Carbon 10%t,55,NACA 4412,N/A,Lower-left ruddervator; +30 deg setting,XTail LL,Boom left tip — +30° below boom plane,XTAL-004,Hinged on TAIL-004; driven by XTAL-008 servo; same mixing
XTAL-005,X-tail servo UR,X-Tail,1,Digital std servo 25g,25,N/A,N/A,Actuates UR surface,Servo,On TAIL-005 root rib — UR,XTAL-005,Mounted on TAIL-005 root rib; pushrod to XTAL-001 hinge line
XTAL-006,X-tail servo UL,X-Tail,1,Digital std servo 25g,25,N/A,N/A,Actuates UL surface,Servo,On TAIL-005 root rib — UL,XTAL-006,Mounted on TAIL-005 root rib; pushrod to XTAL-002 hinge line
XTAL-007,X-tail servo LR,X-Tail,1,Digital std servo 25g,25,N/A,N/A,Actuates LR surface,Servo,On TAIL-005 root rib — LR,XTAL-007,Mounted on TAIL-005 root rib; pushrod to XTAL-003 hinge line
XTAL-008,X-tail servo LL,X-Tail,1,Digital std servo 25g,25,N/A,N/A,Actuates LL surface,Servo,On TAIL-005 root rib — LL,XTAL-008,Mounted on TAIL-005 root rib; pushrod to XTAL-004 hinge line
XTAL-009,X-tail mount brace,X-Tail,4,Al 7075-T6,18,N/A,N/A,Keeps tail surfaces from deflecting under aerodynamic load,Brace,4x between boom and surface root rib,XTAL-009,Bolted between boom and surface root rib
XTAL-010,X-tail pushrod (all),X-Tail,8,Carbon rod + M2 ball ends,6,N/A,N/A,Mechanical link servo to surface hinge line,Pushrod,8x servo-to-surface linkages,XTAL-010,Duplicated per surface; adjustable clevis
PROP-001,Lift rotor motor front L,Propulsion,1,Outrunner BLDC Ø63mm,180,N/A,N/A,Front-left vertical lift,Motor,Front left nacelle — vertical thrust,PROP-001,Bolt pattern Ø44mm to nacelle; 12S LiPo; ~800W peak
PROP-002,Lift rotor motor front R,Propulsion,1,Outrunner BLDC Ø63mm,180,N/A,N/A,Front-right vertical lift,Motor,Front right nacelle — vertical thrust,PROP-002,Bolt pattern Ø44mm to nacelle; 12S LiPo; ~800W peak
PROP-003,Lift rotor motor rear L,Propulsion,1,Outrunner BLDC Ø63mm,180,N/A,N/A,Rear-left vertical lift,Motor,Rear left nacelle — vertical thrust,PROP-003,Bolt pattern Ø44mm to nacelle; 12S LiPo; ~800W peak
PROP-004,Lift rotor motor rear R,Propulsion,1,Outrunner BLDC Ø63mm,180,N/A,N/A,Rear-right vertical lift,Motor,Rear right nacelle — vertical thrust,PROP-004,Bolt pattern Ø44mm to nacelle; 12S LiPo; ~800W peak
PROP-005,Lift rotor prop (x4),Propulsion,4,Carbon or nylon 18x8 in,95,N/A,N/A,Vertical thrust generation; CW/CCW pairs,Prop,4x lift props — on each lift motor,PROP-005,Thread-locked; tapered hub; pitch set for VTOL static thrust
PROP-006,Lift nacelle shell (x4),Propulsion,4,ABS or PA12,65,N/A,N/A,Aerodynamic nacelle; protects rotor from FOD,Nacelle,4x lift nacelle shells,PROP-006,Bonded to motor mount; vented for cooling
PROP-007,ESC lift front (x2),Propulsion,2,60A ESC 12S,70,N/A,N/A,Speed controller for front lift motors,ESC,On front pylon FUS-007 (×2),PROP-007,Mounted on FUS-007 pylon; powered from PROP-020 PDB
PROP-008,ESC lift rear (x2),Propulsion,2,60A ESC 12S,70,N/A,N/A,Speed controller for rear lift motors,ESC,On rear pylon FUS-008 (×2),PROP-008,Mounted on FUS-008 pylon; powered from PROP-020 PDB
PROP-009,Tilt motor L,Propulsion,1,Outrunner BLDC Ø52mm,145,N/A,N/A,Left tilt-rotor motor; tilts 0-90 deg for transition,Motor,Left tilt nacelle — tilt 0-90°,PROP-009,Mounted in PROP-011 nacelle; ~600W peak; drives PROP-013 prop
PROP-010,Tilt motor R,Propulsion,1,Outrunner BLDC Ø52mm,145,N/A,N/A,Right tilt-rotor motor; tilts 0-90 deg for transition,Motor,Right tilt nacelle — tilt 0-90°,PROP-010,Mounted in PROP-011 nacelle; ~600W peak; drives PROP-014 prop
PROP-011,Tilt nacelle assembly L,Propulsion,1,Al 7075 + CF shell,280,N/A,N/A,Left propulsion nacelle with tilt mechanism,Nacelle,Left rear tilt nacelle,PROP-011,Bolt-flange to FUS-008; hinge axis at servo bracket
PROP-012,Tilt nacelle assembly R,Propulsion,1,Al 7075 + CF shell,280,N/A,N/A,Right propulsion nacelle with tilt mechanism,Nacelle,Right rear tilt nacelle,PROP-012,Bolt-flange to FUS-008; hinge axis at servo bracket
PROP-013,Tilt prop L,Propulsion,1,Carbon 16x10 in,75,N/A,N/A,Left tilt-rotor propeller; pusher config in cruise,Prop,Left tilt nacelle — push config cruise,PROP-013,Thread-locked; hub matches PROP-009 shaft; CW for torque balance
PROP-014,Tilt prop R,Propulsion,1,Carbon 16x10 in,75,N/A,N/A,Right tilt-rotor propeller; pusher config in cruise,Prop,Right tilt nacelle — push config cruise,PROP-014,Thread-locked; hub matches PROP-010 shaft; CCW for torque balance
PROP-015,Tilt servo L,Propulsion,1,Digital std servo 35g,35,N/A,N/A,Actuates left nacelle tilt angle,Servo,Left nacelle hinge bracket,PROP-015,Mounted on nacelle hinge bracket; drives pushrod linkage
PROP-016,Tilt servo R,Propulsion,1,Digital std servo 35g,35,N/A,N/A,Actuates right nacelle tilt angle,Servo,Right nacelle hinge bracket,PROP-016,Mounted on nacelle hinge bracket; drives pushrod linkage
PROP-017,Tilt pushrod/linkage (all),Propulsion,2,Carbon rod + Ti clevis,20,N/A,N/A,Mechanical link from servo to nacelle pivot arm,Pushrod,2x tilt pushrods,PROP-017,Adjustable length; duplicate safety factor 2
PROP-018,ESC tilt L,Propulsion,1,80A ESC 12S,85,N/A,N/A,Speed controller for left tilt motor,ESC,Inside left tilt nacelle,PROP-018,Mounted inside nacelle; powered from PROP-020 PDB
PROP-019,ESC tilt R,Propulsion,1,80A ESC 12S,85,N/A,N/A,Speed controller for right tilt motor,ESC,Inside right tilt nacelle,PROP-019,Mounted inside nacelle; powered from PROP-020 PDB
PROP-020,PDB / power distribution board,Propulsion,1,Custom 12S PDB,95,N/A,N/A,Central power bus; distributes 12S to all 6 ESCs,Power,FUS-004 avionics tray,PROP-020,Anderson PP45 connectors; 5V / 12V rails for avionics
PROP-021,Battery 12S LiPo (main),Propulsion,1,12S 5000 mAh LiPo,780,N/A,N/A,Primary flight battery; all propulsion power,Battery,Slides into FUS-006 tray,PROP-021,XT60 connector to PDB; balance lead to AVN-008
PROP-022,Front lift nacelle motor mount bracket,G2 Propulsion,2,Al 7075 CNC,TBD,N/A,N/A,Motor mount bracket for front lift nacelles; matches Ø44mm bolt pattern,G2 Motor Mount,Front left/right nacelle — motor mount,Pièce G2,NOVELLE PIÈCE V3 — répare INT-301; bolt pattern for PROP-001/002
PROP-023,Front lift nacelle shell,G2 Propulsion,2,ABS or PA12,TBD,N/A,N/A,Aerodynamic fairing for front lift nacelle; vented for cooling,G2 Nacelle Shell,Front left/right nacelle — shell,Pièce G2,NOVELLE PIÈCE V3 — répare INT-301; similar to PROP-006
PROP-024,Front lift pylon link/arm,G2 Propulsion,2,Al 7075 CNC,TBD,N/A,N/A,Mechanical link connecting FUS-007 to nacelle assembly,G2 Pylon Link,Front pylons — links FUS-007 to nacelles,Pièce G2,NOVELLE PIÈCE V3 — répare INT-301; structural link
PROP-025,Front lift ESC mount bracket,G2 Propulsion,2,Al 7075 CNC,TBD,N/A,N/A,ESC mounting bracket for front lift ESCs on pylon,G2 ESC Mount,Front pylon FUS-007 — ESC mount,Pièce G2,NOVELLE PIÈCE V3 — répare INT-301; holds PROP-007
PROP-026,Tilt pivot bearing/bracket assembly,G2 Propulsion,2,Al 7075 + steel hinge pin,TBD,N/A,N/A,Tilt pivot mechanism — carries full motor/prop assembly load during transition,Pivot,Left and right tilt nacelles — pivot point,Pièce G2,NOVELLE PIÈCE V3 — répare INT-302; Al 7075 + steel hinge pin
AVN-001,Flight controller (autopilot),Avionics,1,STM32H7 based MCU,38,N/A,N/A,Primary flight computer; runs X-tail + tilt control mixer,FC,FUS-004 avionics tray,AVN-001,Mounted on FUS-004 tray via standoffs; CAN/SPI/UART to sensors; PWM out to all servos + ESCs
AVN-002,GPS + magnetometer module,Avionics,1,Dual-band RTK GPS,45,N/A,N/A,Position and heading reference; GNSS lock for waypoint nav,GPS,Upper surface of wing (minimise EMI),AVN-002,UART to AVN-001; magnetometer I2C on same harness
AVN-003,IMU primary,Avionics,1,6-DOF MEMS IMU,12,N/A,N/A,Primary attitude reference (pitch, roll, yaw rate),IMU,FUS-004 tray,AVN-003,I2C or SPI to AVN-001
AVN-004,IMU redundant,Avionics,1,6-DOF MEMS IMU,12,N/A,N/A,Fail-safe IMU; cross-checked in firmware,IMU,FUS-004 tray (separate bus),AVN-004,Separate I2C bus; firmware votes with AVN-003
AVN-005,Barometer / pitot module,Avionics,1,Digital baro + pitot,8,N/A,N/A,Static + dynamic pressure for altitude and airspeed,Baro,FUS-001 interior pressure port,AVN-005,Tubing to pitot head on wing leading edge
AVN-006,Telemetry radio,Avionics,1,915 MHz / 2.4 GHz transceiver,30,N/A,N/A,Ground-station link; mission upload / live telemetry,Radio,FUS-004 tray — UART to FC,AVN-006,SMA connector to external antenna on nose
AVN-007,Power module / current sensor,Avionics,1,Current + voltage sense,18,N/A,N/A,Monitors battery state; feeds FC analogue inputs,Power,Inline battery → PDB,AVN-007,JST connector
AVN-008,Battery checker / buzzer,Avionics,1,Low-voltage buzzer module,6,N/A,N/A,Audible low-battery warning; failsafe indicator,Buzzer,Nose exterior,AVN-008,Connected to 5V rail
AVN-009,Payload connector,Avionics,1,JST GH 6-pin,3,N/A,N/A,Payload power + data interface,Payload,Payload bay interior,AVN-009,+5V / +12V rails; UART or USB data
AVN-010,Antenna (telemetry ext),Avionics,1,Dipole whip or blade,8,N/A,N/A,RF feed for telemetry radio,Antenna,SMA bulkhead on FUS-002 nose,AVN-010,Coax to AVN-006
STR-001,M3x0.5x6 button head bolt (bag x30),Structure,30,SS A2-70,3,N/A,N/A,General assembly; avionics tray, servo mounts, fairings,Fastener,Distributed — all subassemblies,STR-001,Torque 0.6Nm; Loctite 243 recommended
STR-002,M4x0.7x8 button head bolt (bag x20),Structure,20,SS A2-70,5,N/A,N/A,Primary structural joints; fuselage-to-wing, boom attach,Fastener,Distributed — primary joints,STR-002,Torque 2.0Nm; Loctite 243 required
STR-003,M5x0.8x12 socket head bolt (bag x12),Structure,12,Ti-6Al-4V,9,N/A,N/A,Heavy-load joints; boom root, pylon mounts,Fastener,Boom root, pylon mounts,STR-003,Torque 5.0Nm; dry lubricant
STR-004,M3 heat-set inserts (bag x20),Structure,20,Brass,2,N/A,N/A,Thread inserts in composite parts for repeated assembly,Fastener,FUS-005 payload bay, STR-004 in TAIL-005,STR-004,Pressed into thermoplast
STR-005,Ø3x0.5mm washer (bag x40),Structure,40,SS,0.5,N/A,N/A,Spread load under M3 bolts in composite,Washer,Distributed,STR-005,SS304
STR-006,Ø4x0.8mm washer (bag x30),Structure,30,SS,1,N/A,N/A,Spread load under M4 bolts,Washer,Distributed,STR-006,SS304
STR-007,Cable ties 2.5x100mm (bag x20),Structure,20,Nylon 6/6,1,N/A,N/A,Wire dress and bundle management,Fastener,Wire harness routing,STR-007,UL94V-2; black UV-stabilised
STR-008,Dual-lock adhesive velcro (x4 strips),Structure,4,3M Dual-Lock,2,N/A,N/A,Battery retention, payload bay closure,Fastener,Battery retention in FUS-006,STR-008,Peel-and-stick; reclosable
STR-009,Thread-locking fluid 10ml,Structure,1,Medium-strength threadlocker,10,N/A,N/A,Prevents bolt rotation on critical joints,Adhesive,Distributed — critical joints,STR-009,Loctite 243 or equivalent; not on movable joints
STR-010,Conducting lubricant 5g,Structure,1,Silver grease,5,N/A,N/A,Electrically conductive coating for static grounding points,Lubricant,Static grounding points,STR-010,Applied at bond joints: fuselage/boom; boom/X-tail
